Date,n,P,score_window
2022-07-18,30,0.1,279.53941666666105
2022-07-19,30,0.1,412.6476666666622
2022-07-20,30,0.1,406.93166666666184
2022-07-21,28,0.12,375.9099166666638
2022-07-22,24,0.1,364.7422916666619
2022-07-25,24,0.1,388.3256249999904
2022-07-26,24,0.1,279.9017708333249
2022-07-27,24,0.1,285.20958333332965
2022-07-28,24,0.1,282.83770833333074
2022-07-29,24,0.1,306.00177083333074
2022-08-01,24,0.1,405.9780208333286
2022-08-02,24,0.1,438.40645833332746
2022-08-03,24,0.1,432.7798958333278
2022-08-04,24,0.1,426.96927083332776
2022-08-05,24,0.1,477.9359374999949
2022-08-08,24,0.1,477.9359374999949
2022-08-10,24,0.1,482.3265624999931
2022-08-11,24,0.1,453.39749999999367
2022-08-12,24,0.1,594.1724999999933
2022-08-16,24,0.1,589.4578124999916
2022-08-17,24,0.1,613.5828124999953
2022-08-18,24,0.1,608.5753124999937
2022-08-19,24,0.1,531.0618749999958
2022-08-22,24,0.1,553.5906249999971
2022-08-23,30,0.1,563.0682499999966
2022-08-24,30,0.1,489.3349166666667
2022-08-25,30,0.1,462.7749166666654
2022-08-26,30,0.1,460.4176666666681
2022-08-29,30,0.1,403.74366666667265
2022-08-30,14,0.1,654.5309523809519
2022-09-01,14,0.1,549.7900595238098
2022-09-02,14,0.1,477.1800595238128
2022-09-05,14,0.12,429.8943809523844
2022-09-06,14,0.3,440.8263095238035
2022-09-07,20,0.14,428.6035249999986
2022-09-08,20,0.14,460.4368583333344
2022-09-09,20,0.14,426.09490833333257
2022-09-12,14,0.14,475.60708333332514
2022-09-13,30,0.3,402.16099999998914
2022-09-14,16,0.28,417.12237499999173
2022-09-15,16,0.28,472.1473749999932
2022-09-16,18,0.28,473.22583333332295
2022-09-19,18,0.28,553.0524999999907
2022-09-20,18,0.28,483.924999999992
2022-09-21,16,0.14,409.07311458333425
2022-09-22,26,0.12,458.9192564102632
2022-09-23,26,0.12,458.9192564102632
2022-09-26,26,0.12,464.32825641026284
2022-09-27,26,0.12,530.6852179487214
2022-09-28,16,0.14,301.74914583333884
2022-09-29,26,0.12,380.59943589744216
2022-09-30,26,0.12,466.4599743589788
2022-10-03,12,0.12,593.7101666666786
2022-10-04,12,0.12,649.4651666666796
2022-10-06,12,0.12,614.6024166666757
2022-10-07,26,0.12,643.8126538461584
2022-10-10,26,0.12,643.8126538461584
2022-10-11,26,0.12,669.2626538461591
2022-10-12,26,0.12,735.8473076923146
2022-10-13,26,0.12,787.305692307702
2022-10-14,26,0.12,730.2625384615494
2022-10-17,26,0.12,925.1625384615472
2022-10-18,26,0.12,931.1440769230867
2022-10-19,26,0.12,899.4318461538569
2022-10-20,26,0.12,875.8884743589915
2022-10-21,22,0.12,893.4911212121333
2022-10-25,22,0.12,915.0827878787968
2022-10-27,22,0.12,965.8914848484928
2022-10-28,22,0.12,919.2819393939462
2022-10-31,22,0.12,883.3557575757659
2022-11-01,22,0.12,798.7224242424309
2022-11-02,12,0.1,753.4445833333411
2022-11-03,12,0.1,739.1858333333403
2022-11-04,12,0.1,692.5483333333359
2022-11-07,12,0.1,664.9316666666709
2022-11-09,12,0.1,639.2483333333366
2022-11-10,12,0.1,645.6233333333366
2022-11-11,12,0.1,582.9008333333331
2022-11-14,12,0.1,550.9389583333286
2022-11-15,12,0.1,516.0552083333278
2022-11-16,12,0.1,418.7989583333256
2022-11-17,12,0.1,226.34895833332848
2022-11-18,12,0.1,195.04270833332703
2022-11-21,12,0.1,213.35395833332586
2022-11-22,12,0.1,163.51229166665144
2022-11-23,12,0.1,158.94854166665027
2022-11-24,12,0.1,189.29854166665245
