Date,n,P,score_window
2023-04-26,20,0.24,-10.400000000005093
2023-04-27,16,0.2,18.59999999999127
2023-04-28,16,0.2,49.64999999999054
2023-05-02,16,0.2,215.99999999999272
2023-05-03,16,0.2,225.549999999992
2023-05-04,16,0.2,203.09999999999127
2023-05-05,14,0.26,200.84999999999854
2023-05-08,14,0.26,200.84999999999854
2023-05-09,14,0.26,195.8499999999949
2023-05-10,14,0.26,151.74999999999636
2023-05-11,16,0.3,79.79999999999563
2023-05-12,16,0.3,79.79999999999563
2023-05-15,14,0.26,77.54999999999927
2023-05-16,14,0.26,111.64999999999782
2023-05-17,12,0.26,147.8499999999949
2023-05-18,12,0.26,213.89999999999418
2023-05-19,12,0.26,208.39999999999418
2023-05-22,12,0.26,208.39999999999418
2023-05-23,18,0.3,238.34999999999127
2023-05-24,18,0.3,238.34999999999127
2023-05-25,18,0.3,199.39999999999054
2023-05-26,18,0.3,193.34999999999127
2023-05-29,18,0.3,197.64999999999054
2023-05-30,30,0.28,168.14999999999054
2023-05-31,30,0.28,168.14999999999054
2023-06-01,24,0.3,119.69999999999345
2023-06-02,30,0.1,102.54999999999563
2023-06-05,30,0.1,102.39999999999418
2023-06-06,30,0.1,90.54999999999563
2023-06-07,30,0.1,170.15000000000146
2023-06-08,30,0.1,175.29999999999927
2023-06-09,30,0.1,131.74999999999636
2023-06-12,30,0.1,145.39999999999418
2023-06-13,30,0.1,133.3499999999949
2023-06-14,30,0.1,119.29999999999563
2023-06-15,30,0.1,104.19999999999345
2023-06-16,30,0.1,120.19999999999345
2023-06-19,30,0.1,116.04999999999563
2023-06-20,30,0.1,120.94999999999345
2023-06-21,30,0.1,132.59999999999127
2023-06-22,30,0.1,121.89999999999054
2023-06-23,30,0.1,125.74999999999272
2023-06-26,30,0.1,110.89999999999418
2023-06-27,30,0.1,110.89999999999418
2023-06-28,30,0.1,122.29999999999563
2023-06-30,30,0.1,116.54999999999563
2023-07-03,24,0.16,138.6500000000051
2023-07-04,24,0.16,173.70000000000437
2023-07-05,30,0.14,169.75
2023-07-06,30,0.14,156.5
2023-07-07,28,0.3,164.09999999999854
2023-07-10,30,0.14,199.65000000000146
2023-07-11,30,0.14,182.95000000000073
2023-07-12,30,0.14,197.54999999999927
2023-07-13,12,0.3,147.0999999999949
2023-07-14,30,0.14,159.20000000000073
2023-07-17,24,0.16,161.50000000000728
2023-07-18,30,0.14,165.10000000000218
2023-07-19,30,0.14,162.85000000000582
2023-07-20,30,0.14,142.85000000000582
2023-07-21,30,0.14,161.05000000000655
2023-07-24,30,0.22,176.20000000000073
2023-07-25,30,0.22,175.45000000000073
2023-07-26,20,0.14,172.5000000000109
2023-07-27,20,0.14,178.0500000000102
2023-07-28,20,0.14,160.50000000000728
2023-07-31,12,0.2,107.04999999999927
2023-08-01,12,0.2,145.4499999999971
2023-08-02,12,0.2,147.84999999999854
2023-08-03,12,0.2,183.79999999999927
2023-08-04,12,0.2,190.54999999999927
2023-08-07,12,0.2,168.09999999999854
2023-08-08,30,0.1,214.55000000000655
2023-08-09,30,0.1,217.75000000000364
2023-08-10,30,0.1,214.25000000000364
2023-08-11,30,0.1,157.85000000000218
2023-08-14,30,0.1,158.90000000000146
2023-08-16,30,0.1,151.0
2023-08-17,30,0.1,152.75
2023-08-18,30,0.1,164.34999999999854
2023-08-21,30,0.1,151.4499999999971
2023-08-22,30,0.1,153.89999999999782
2023-08-23,30,0.1,136.04999999999927
2023-08-24,30,0.1,121.75
2023-08-25,24,0.28,86.05000000000655
2023-08-28,24,0.28,53.15000000000509
2023-08-29,24,0.28,53.15000000000509
2023-08-30,24,0.28,41.80000000000291
2023-08-31,12,0.26,41.60000000000218
2023-09-01,16,0.26,42.6000000000131
2023-09-04,30,0.1,39.650000000001455
2023-09-05,24,0.28,33.400000000001455
2023-09-06,24,0.28,33.400000000001455
2023-09-07,20,0.1,28.900000000001455
2023-09-08,28,0.16,40.19999999999709
2023-09-11,28,0.16,97.44999999999709
2023-09-12,12,0.26,107.60000000000218
2023-09-13,28,0.16,122.79999999999927
2023-09-14,28,0.16,117.29999999999563
2023-09-15,28,0.16,93.54999999999927
2023-09-18,24,0.1,97.50000000000364
2023-09-20,22,0.24,74.0
2023-09-21,22,0.24,110.15000000000146
2023-09-22,22,0.24,143.40000000000146
2023-09-25,20,0.24,110.34999999999854
2023-09-26,20,0.24,110.34999999999854
2023-09-27,20,0.24,110.34999999999854
2023-09-28,20,0.24,139.95000000000073
2023-09-29,20,0.24,168.39999999999782
2023-10-03,20,0.24,163.14999999999782
2023-10-04,12,0.24,134.70000000000073
2023-10-05,12,0.24,136.0500000000029
2023-10-06,12,0.24,136.0500000000029
2023-10-09,12,0.24,195.3000000000029
2023-10-10,12,0.24,164.0500000000029
2023-10-11,28,0.24,165.549999999992
2023-10-12,28,0.24,132.19999999999345
2023-10-13,14,0.3,188.40000000000146
2023-10-16,14,0.3,194.3000000000029
2023-10-17,14,0.3,199.60000000000218
2023-10-18,14,0.3,199.60000000000218
2023-10-19,14,0.3,237.5
2023-10-20,14,0.3,209.04999999999927
2023-10-23,24,0.3,170.74999999999272
2023-10-25,30,0.3,224.04999999999563
2023-10-26,30,0.3,266.99999999999636
2023-10-27,22,0.3,298.25
2023-10-30,18,0.3,279.95000000000437
2023-10-31,28,0.26,259.950000000008
2023-11-01,14,0.22,225.1999999999971
2023-11-02,14,0.22,218.04999999999927
2023-11-03,14,0.22,218.04999999999927
2023-11-06,14,0.22,218.04999999999927
2023-11-07,22,0.24,235.74999999999636
2023-11-08,22,0.24,235.74999999999636
2023-11-09,22,0.24,201.1999999999971
2023-11-10,22,0.24,201.1999999999971
2023-11-13,22,0.3,208.3000000000029
2023-11-15,22,0.3,208.70000000000073
2023-11-16,22,0.3,208.70000000000073
2023-11-17,30,0.3,248.65000000000146
2023-11-20,30,0.3,210.75000000000364
2023-11-21,30,0.3,200.00000000000364
2023-11-22,30,0.3,200.00000000000364
2023-11-23,22,0.3,160.0
2023-11-24,22,0.3,117.04999999999927
2023-11-28,22,0.3,80.70000000000073
2023-11-29,20,0.3,95.15000000000146
2023-11-30,20,0.3,116.15000000000146
2023-12-01,20,0.3,67.20000000000073
2023-12-04,20,0.3,63.14999999999782
2023-12-05,20,0.3,95.94999999999709
2023-12-06,20,0.3,97.14999999999782
2023-12-07,20,0.3,92.14999999999782
2023-12-08,20,0.3,92.14999999999782
2023-12-11,20,0.2,67.1500000000051
2023-12-12,20,0.2,67.1500000000051
2023-12-13,20,0.2,90.450000000008
2023-12-14,20,0.2,113.1500000000051
2023-12-15,20,0.2,136.00000000000728
2023-12-18,20,0.2,129.3000000000029
2023-12-19,20,0.2,129.3000000000029
2023-12-20,20,0.2,155.5500000000029
2023-12-21,20,0.2,144.8000000000029
2023-12-22,20,0.2,206.1500000000051
2023-12-26,20,0.2,238.50000000000364
2023-12-27,20,0.2,293.0
2023-12-28,20,0.2,307.59999999999854
2023-12-29,20,0.2,284.1999999999971
2024-01-01,20,0.2,261.5499999999993
2024-01-02,20,0.2,271.25
2024-01-03,20,0.2,278.84999999999854
2024-01-04,26,0.16,283.1000000000058
2024-01-05,26,0.16,284.700000000008
2024-01-08,26,0.16,285.05000000000655
2024-01-09,26,0.2,314.4999999999927
2024-01-10,28,0.26,245.4499999999898
2024-01-11,26,0.1,227.8000000000029
2024-01-12,26,0.1,210.25000000000364
2024-01-15,28,0.26,228.34999999998763
2024-01-16,26,0.1,210.70000000000073
2024-01-17,28,0.26,190.89999999999054
2024-01-18,16,0.1,174.5500000000029
2024-01-19,16,0.1,187.5500000000029
2024-01-20,16,0.1,181.0500000000029
2024-01-23,22,0.24,134.90000000000146
2024-01-24,22,0.24,148.10000000000582
2024-01-25,22,0.24,98.30000000000655
2024-01-29,22,0.24,141.25000000000728
2024-01-30,22,0.24,188.80000000000655
2024-01-31,18,0.26,253.79999999999927
2024-02-01,18,0.26,267.9499999999971
2024-02-02,18,0.26,255.04999999999563
2024-02-05,18,0.26,327.54999999999563
2024-02-06,18,0.26,345.19999999999345
2024-02-07,16,0.26,320.29999999999563
2024-02-08,16,0.24,232.34999999999854
2024-02-09,12,0.24,301.3500000000022
2024-02-12,12,0.24,313.5500000000029
2024-02-13,12,0.24,335.7000000000007
2024-02-14,12,0.24,324.3000000000029
2024-02-15,12,0.24,320.65000000000146
2024-02-16,12,0.24,329.5500000000029
2024-02-19,12,0.24,490.5
2024-02-20,18,0.26,440.70000000000437
2024-02-21,22,0.3,434.25000000000364
2024-02-22,18,0.26,419.40000000000146
2024-02-23,20,0.28,471.34999999999854
2024-02-26,20,0.28,419.0499999999993
2024-02-27,20,0.28,363.15000000000146
2024-02-28,20,0.28,287.4500000000007
2024-02-29,24,0.3,310.3500000000022
2024-03-01,24,0.3,310.3500000000022
2024-03-04,16,0.3,338.6500000000051
2024-03-05,16,0.3,338.6500000000051
2024-03-06,16,0.3,318.70000000000437
2024-03-07,16,0.3,381.20000000000437
2024-03-11,18,0.3,304.4500000000007
2024-03-12,18,0.3,362.2000000000007
2024-03-13,18,0.28,288.50000000000364
2024-03-14,14,0.3,343.4000000000051
2024-03-15,18,0.28,443.70000000000437
2024-03-18,18,0.28,380.1500000000051
2024-03-19,18,0.28,380.1500000000051
2024-03-20,14,0.28,425.200000000008
2024-03-21,28,0.1,351.450000000008
2024-03-22,18,0.28,254.00000000000364
2024-03-26,26,0.24,353.8000000000138
2024-03-27,26,0.24,353.8000000000138
2024-03-28,26,0.24,325.00000000001455
2024-04-01,26,0.24,391.8000000000138
2024-04-02,26,0.24,330.50000000001455
2024-04-03,26,0.24,330.50000000001455
2024-04-04,30,0.24,299.65000000000873
2024-04-05,30,0.24,220.700000000008
2024-04-08,30,0.24,220.700000000008
2024-04-09,30,0.24,178.15000000000873
2024-04-10,30,0.24,178.15000000000873
2024-04-12,30,0.24,124.30000000000655
2024-04-15,14,0.2,176.19999999999345
2024-04-16,30,0.24,127.60000000000582
2024-04-18,12,0.12,89.94999999999709
2024-04-19,30,0.24,94.04999999999927
2024-04-22,30,0.24,149.70000000000073
2024-04-23,30,0.24,96.64999999999782
2024-04-24,12,0.3,69.94999999999709
2024-04-25,14,0.2,94.09999999999854
2024-04-26,16,0.12,20.200000000004366
2024-04-29,22,0.1,30.950000000004366
2024-04-30,14,0.2,52.599999999998545
2024-05-02,22,0.1,16.80000000000291
2024-05-03,24,0.14,-10.999999999985448
2024-05-06,24,0.14,-5.749999999985448
2024-05-07,12,0.16,35.750000000010914
2024-05-08,12,0.16,93.45000000001164
2024-05-09,12,0.16,91.95000000001164
2024-05-10,12,0.16,100.55000000000655
2024-05-13,26,0.28,69.14999999999418
2024-05-14,26,0.28,69.14999999999418
2024-05-15,26,0.1,57.09999999999491
2024-05-16,26,0.1,82.49999999999636
2024-05-17,26,0.1,102.14999999999782
2024-05-21,26,0.1,103.44999999999709
2024-05-22,26,0.1,137.89999999999418
2024-05-23,26,0.1,133.3499999999949
2024-05-24,26,0.1,160.0999999999949
2024-05-27,26,0.1,215.14999999999418
2024-05-28,26,0.1,234.84999999999127
2024-05-29,26,0.1,241.549999999992
2024-05-30,26,0.1,250.84999999999127
2024-05-31,26,0.1,250.049999999992
2024-06-03,26,0.1,320.049999999992
2024-06-04,26,0.1,314.799999999992
2024-06-05,26,0.1,417.9499999999898
2024-06-06,26,0.1,432.69999999999345
2024-06-07,26,0.1,469.799999999992
2024-06-10,26,0.1,487.09999999999127
2024-06-11,22,0.1,484.54999999999563
2024-06-12,12,0.1,539.3999999999942
2024-06-13,22,0.1,514.3999999999978
2024-06-14,22,0.1,499.9499999999971
2024-06-18,22,0.1,473.54999999999563
2024-06-19,22,0.1,456.0999999999949
2024-06-20,12,0.3,416.0500000000029
2024-06-21,12,0.3,416.0500000000029
2024-06-24,22,0.1,306.9499999999971
2024-06-25,24,0.1,299.6999999999971
2024-06-26,24,0.1,304.8499999999949
2024-06-27,12,0.3,339.3999999999978
2024-06-28,12,0.3,387.79999999999563
2024-07-01,12,0.3,315.79999999999563
2024-07-02,12,0.3,332.8499999999949
2024-07-03,12,0.3,332.8499999999949
2024-07-04,12,0.3,277.29999999999563
2024-07-05,12,0.28,165.49999999999636
2024-07-08,12,0.28,145.4499999999971
2024-07-09,12,0.28,26.999999999996362
2024-07-10,14,0.22,26.400000000001455
2024-07-11,24,0.2,160.65000000000146
2024-07-12,24,0.22,204.69999999999345
2024-07-15,24,0.22,147.54999999999563
2024-07-16,24,0.22,147.54999999999563
2024-07-18,24,0.22,147.54999999999563
2024-07-19,16,0.16,217.00000000000728
2024-07-22,24,0.2,253.60000000000218
2024-07-23,30,0.3,279.30000000000655
2024-07-24,30,0.3,371.10000000000946
2024-07-25,30,0.3,226.10000000000946
2024-07-26,30,0.3,209.20000000001164
2024-07-29,30,0.3,186.75000000001455
2024-07-30,30,0.3,184.150000000016
2024-07-31,30,0.3,94.55000000001746
2024-08-01,30,0.3,94.55000000001746
2024-08-02,30,0.3,94.55000000001746
2024-08-05,30,0.3,94.55000000001746
2024-08-06,30,0.28,158.60000000000582
2024-08-07,30,0.28,223.00000000000728
2024-08-08,30,0.28,223.00000000000728
2024-08-09,30,0.28,156.200000000008
2024-08-12,30,0.28,156.200000000008
2024-08-13,30,0.26,256.2000000000007
2024-08-14,30,0.26,314.59999999999854
2024-08-16,30,0.26,314.59999999999854
2024-08-19,30,0.26,247.14999999999782
2024-08-20,30,0.26,193.6999999999971
2024-08-21,26,0.28,158.15000000000873
2024-08-22,12,0.24,96.79999999999927
2024-08-23,12,0.24,200.64999999999782
2024-08-26,30,0.26,201.8499999999949
2024-08-27,14,0.18,166.00000000000728
2024-08-28,12,0.22,167.39999999999782
2024-08-29,12,0.22,177.9499999999971
2024-08-30,14,0.18,206.5500000000029
2024-09-02,14,0.18,206.5500000000029
2024-09-03,14,0.18,205.3000000000029
2024-09-04,14,0.18,165.10000000000218
2024-09-05,14,0.18,112.15000000000146
2024-09-06,14,0.18,81.60000000000218
2024-09-09,12,0.14,162.70000000000073
2024-09-10,12,0.14,154.40000000000146
2024-09-11,12,0.14,122.20000000000073
2024-09-12,12,0.14,113.80000000000291
2024-09-13,12,0.14,101.00000000000364
2024-09-16,12,0.14,103.20000000000437
2024-09-17,12,0.14,102.95000000000437
2024-09-18,12,0.14,125.1500000000051
2024-09-19,12,0.14,121.30000000000291
2024-09-20,12,0.14,129.10000000000582
2024-09-23,14,0.14,166.25000000000364
2024-09-24,14,0.14,140.40000000000146
2024-09-25,12,0.12,169.59999999999854
2024-09-26,22,0.16,193.54999999999927
2024-09-27,26,0.16,198.049999999992
2024-09-30,22,0.16,194.64999999999782
2024-10-01,22,0.16,223.74999999999636
2024-10-03,22,0.16,223.74999999999636
2024-10-04,22,0.16,246.94999999999345
2024-10-07,12,0.3,294.6000000000022
2024-10-08,12,0.3,348.5
2024-10-09,12,0.3,403.4499999999971
2024-10-10,24,0.16,339.7999999999993
2024-10-11,24,0.16,313.84999999999854
2024-10-14,20,0.16,275.6499999999942
2024-10-15,20,0.16,311.3999999999942
2024-10-16,16,0.16,343.30000000000655
2024-10-17,16,0.12,232.04999999999563
2024-10-18,16,0.3,353.1000000000022
2024-10-21,16,0.3,372.20000000000437
2024-10-22,16,0.12,224.4499999999971
2024-10-23,16,0.12,243.84999999999854
2024-10-24,16,0.3,243.7500000000109
